name	symbol	marketcap	price	change	high52	low52	volume	volumeavg
5N Plus Inc.	VNP	"=GoogleFinance(""TSE:VNP"",""marketcap"")"	"=GoogleFinance(""TSE:VNP"",""price"")"	"=GoogleFinance(""TSE:VNP"",""change"")"	"=GoogleFinance(""TSE:VNP"",""high52"")"	"=GoogleFinance(""TSE:VNP"",""low52"")"	"=GoogleFinance(""TSE:VNP"",""volume"")"	"=GoogleFinance(""TSE:VNP"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:VNP"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aberdeen International Inc.	AAB	"=GoogleFinance(""TSE:AAB"",""marketcap"")"	"=GoogleFinance(""TSE:AAB"",""price"")"	"=GoogleFinance(""TSE:AAB"",""change"")"	"=GoogleFinance(""TSE:AAB"",""high52"")"	"=GoogleFinance(""TSE:AAB"",""low52"")"	"=GoogleFinance(""TSE:AAB"",""volume"")"	"=GoogleFinance(""TSE:AAB"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AAB"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Acadian Timber Corp.	ADN	"=GoogleFinance(""TSE:ADN"",""marketcap"")"	"=GoogleFinance(""TSE:ADN"",""price"")"	"=GoogleFinance(""TSE:ADN"",""change"")"	"=GoogleFinance(""TSE:ADN"",""high52"")"	"=GoogleFinance(""TSE:ADN"",""low52"")"	"=GoogleFinance(""TSE:ADN"",""volume"")"	"=GoogleFinance(""TSE:ADN"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ADN"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Accord Financial Corp.	ACD	"=GoogleFinance(""TSE:ACD"",""marketcap"")"	"=GoogleFinance(""TSE:ACD"",""price"")"	"=GoogleFinance(""TSE:ACD"",""change"")"	"=GoogleFinance(""TSE:ACD"",""high52"")"	"=GoogleFinance(""TSE:ACD"",""low52"")"	"=GoogleFinance(""TSE:ACD"",""volume"")"	"=GoogleFinance(""TSE:ACD"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ACD"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
AcuityAds Holdings Inc.	AT	"=GoogleFinance(""TSE:AT"",""marketcap"")"	"=GoogleFinance(""TSE:AT"",""price"")"	"=GoogleFinance(""TSE:AT"",""change"")"	"=GoogleFinance(""TSE:AT"",""high52"")"	"=GoogleFinance(""TSE:AT"",""low52"")"	"=GoogleFinance(""TSE:AT"",""volume"")"	"=GoogleFinance(""TSE:AT"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AT"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
ADF Group Inc.	DRX	"=GoogleFinance(""TSE:DRX"",""marketcap"")"	"=GoogleFinance(""TSE:DRX"",""price"")"	"=GoogleFinance(""TSE:DRX"",""change"")"	"=GoogleFinance(""TSE:DRX"",""high52"")"	"=GoogleFinance(""TSE:DRX"",""low52"")"	"=GoogleFinance(""TSE:DRX"",""volume"")"	"=GoogleFinance(""TSE:DRX"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:DRX"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Advantage Oil & Gas Ltd.	AAV	"=GoogleFinance(""TSE:AAV"",""marketcap"")"	"=GoogleFinance(""TSE:AAV"",""price"")"	"=GoogleFinance(""TSE:AAV"",""change"")"	"=GoogleFinance(""TSE:AAV"",""high52"")"	"=GoogleFinance(""TSE:AAV"",""low52"")"	"=GoogleFinance(""TSE:AAV"",""volume"")"	"=GoogleFinance(""TSE:AAV"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AAV"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aecon Group Inc.	ARE	"=GoogleFinance(""TSE:ARE"",""marketcap"")"	"=GoogleFinance(""TSE:ARE"",""price"")"	"=GoogleFinance(""TSE:ARE"",""change"")"	"=GoogleFinance(""TSE:ARE"",""high52"")"	"=GoogleFinance(""TSE:ARE"",""low52"")"	"=GoogleFinance(""TSE:ARE"",""volume"")"	"=GoogleFinance(""TSE:ARE"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ARE"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aegis Brands Inc.	AEG	"=GoogleFinance(""TSE:AEG"",""marketcap"")"	"=GoogleFinance(""TSE:AEG"",""price"")"	"=GoogleFinance(""TSE:AEG"",""change"")"	"=GoogleFinance(""TSE:AEG"",""high52"")"	"=GoogleFinance(""TSE:AEG"",""low52"")"	"=GoogleFinance(""TSE:AEG"",""volume"")"	"=GoogleFinance(""TSE:AEG"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AEG"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
AEterna Zentaris Inc.	AEZS	"=GoogleFinance(""TSE:AEZS"",""marketcap"")"	"=GoogleFinance(""TSE:AEZS"",""price"")"	"=GoogleFinance(""TSE:AEZS"",""change"")"	"=GoogleFinance(""TSE:AEZS"",""high52"")"	"=GoogleFinance(""TSE:AEZS"",""low52"")"	"=GoogleFinance(""TSE:AEZS"",""volume"")"	"=GoogleFinance(""TSE:AEZS"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AEZS"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Africa Oil Corp.	AOI	"=GoogleFinance(""TSE:AOI"",""marketcap"")"	"=GoogleFinance(""TSE:AOI"",""price"")"	"=GoogleFinance(""TSE:AOI"",""change"")"	"=GoogleFinance(""TSE:AOI"",""high52"")"	"=GoogleFinance(""TSE:AOI"",""low52"")"	"=GoogleFinance(""TSE:AOI"",""volume"")"	"=GoogleFinance(""TSE:AOI"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AOI"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
